date,count1,Priority,Category
2018-10-02,0,5,1
2018-10-07,0,8,1
2018-10-12,0,12,1
2018-10-17,0,9,1
2018-10-22,0,11,1
2018-10-27,0,22,1
2018-11-01,0,8,1
2018-11-06,0,19,1
2018-11-11,0,17,1
2018-11-16,0,40,1
2018-11-21,0,21,1
2018-11-26,0,36,1
2018-12-01,0,31,1
2018-12-06,0,22,1
2018-12-11,0,26,1
2018-12-16,0,13,1
2018-12-21,0,5,1
2018-12-26,0,12,1
2018-12-31,0,12,1
2019-01-05,0,21,1
2019-01-10,0,5,1
2019-01-15,0,13,1
2019-01-20,0,12,1
2019-01-25,0,10,1
2019-01-30,0,2,1
2019-02-04,0,0,1
2019-02-09,0,1,1
2019-02-14,0,1,1
2019-02-19,0,1,1
2019-02-24,0,0,1
2019-03-01,0,0,1
2019-03-06,0,2,1
2019-03-11,0,3,1
2019-03-16,0,0,1
2019-03-21,0,1,1
2019-03-26,0,0,1
2019-03-31,0,1,1
2019-04-05,0,0,1
2019-04-10,0,1,1
2019-04-15,0,5,1
2019-04-20,0,0,1
2019-04-25,0,1,1
2019-04-30,0,1,1
2019-05-05,0,4,1
2019-05-10,0,1,1
2019-05-15,0,0,1
2019-05-20,0,5,1
2019-05-25,0,0,1
2019-05-30,0,0,1
2019-06-04,0,2,1
2019-06-09,0,0,1
2019-06-14,0,0,1
2019-06-19,0,0,1
2019-06-24,0,0,1
2019-06-29,0,1,1
2019-07-04,0,0,1
2019-07-09,0,0,1
2019-07-14,0,1,1
2019-07-19,0,1,1
2019-07-24,0,1,1
2019-07-29,0,0,1
2019-08-03,0,0,1
2019-08-08,0,0,1
2019-08-13,0,3,1
2019-08-18,0,5,1
2019-08-23,0,7,1
2019-08-28,0,5,1
2019-09-02,0,3,1
2019-09-07,0,3,1
2019-09-12,0,0,1
2019-09-17,0,5,1
2019-09-22,0,3,1
2019-09-27,0,4,1
2019-10-02,0,6,1
2019-10-07,0,8,1
2019-10-12,2,2,1
2019-10-17,0,12,1
2019-10-22,0,8,1
2019-10-27,0,10,1
2019-11-01,0,5,1
2019-11-06,0,6,1
2019-11-11,0,3,1
2019-11-16,0,4,1
2019-11-21,0,3,1
2019-11-26,0,10,1
2019-12-01,0,1,1
2019-12-06,0,3,1
2019-12-11,0,1,1
2019-12-16,0,4,1
2019-12-21,0,1,1
2019-12-26,0,2,1
2019-12-31,0,3,1
2020-01-05,0,2,1
2020-01-10,0,5,1
2020-01-15,0,0,1
2020-01-20,5,3,1
2020-01-25,0,3,1
2020-01-30,0,0,1
2020-02-04,0,1,1
2020-02-09,0,3,1
2020-02-14,0,2,1
2020-02-19,0,1,1
2020-02-24,2,3,1
2020-02-29,0,2,1
2020-03-05,0,1,1
2020-03-10,8,2,1
2020-03-15,0,1,1
2020-03-20,0,0,1
2020-03-25,0,0,1
2020-03-30,0,1,1
2020-04-04,0,8,1
2020-04-09,0,1,1
2020-04-14,0,1,1
2020-04-19,0,1,1
2020-04-24,0,1,1
2020-04-29,0,0,1
2020-05-04,0,2,1
2020-05-09,0,0,1
2020-05-14,0,0,1
2020-05-19,0,0,1
2020-05-24,0,1,1
2020-05-29,4,2,1
2020-06-03,4,3,1
2020-06-08,0,0,1
2020-06-13,0,1,1
2020-06-18,0,1,1
2020-06-23,0,0,1
2020-06-28,0,0,1
2020-07-03,0,0,1
2020-07-08,0,1,1
2020-07-13,0,2,1
2020-07-18,0,0,1
2020-07-23,0,0,1
2020-07-28,0,0,1
2020-08-02,0,0,1
2020-08-07,0,2,1
2020-08-12,0,1,1
2020-08-17,2,4,1
2020-08-22,0,0,1
2020-08-27,4,4,1
2020-09-01,8,1,1
2020-09-06,0,1,1
2020-09-11,0,0,1
2020-09-16,0,1,1
2020-09-21,0,1,1
2020-09-26,0,0,1
2020-10-01,0,0,1
2020-10-06,0,2,1
2020-10-11,0,4,1
2020-10-16,0,4,1
2020-10-21,0,6,1
2020-10-26,0,0,1
2020-10-31,0,5,1
2020-11-05,0,6,1
2020-11-10,0,4,1
2020-11-15,0,8,1
2020-11-20,0,2,1
2020-11-25,0,4,1
2020-11-30,0,8,1
2020-12-05,0,2,1
2020-12-10,0,7,1
2020-12-15,0,4,1
2020-12-20,0,0,1
2020-12-25,0,1,1
2020-12-30,0,2,1
2021-01-04,0,2,1
2021-01-09,0,3,1
2021-01-14,0,2,1
2021-01-19,0,0,1
2021-01-24,0,0,1
2021-01-29,0,6,1
2021-02-03,0,0,1
2021-02-08,9,9,1
2021-02-13,0,3,1
2021-02-18,0,4,1
2021-02-23,0,1,1
2021-02-28,9,6,1
2021-03-05,0,0,1
2021-03-10,0,1,1
2021-03-15,0,3,1
2021-03-20,0,5,1
2021-03-25,0,5,1
2021-03-30,0,3,1
2021-04-04,0,4,1
2021-04-09,0,8,1
2021-04-14,0,5,1
2021-04-19,0,1,1
2021-04-24,0,0,1
2021-04-29,0,3,1
2021-05-04,1,3,1
2021-05-09,0,5,1
2021-05-14,0,2,1
2021-05-19,0,1,1
2021-05-24,4,2,1
2021-05-29,0,4,1
2021-06-03,0,2,1
2021-06-08,0,2,1
2021-06-13,0,8,1
2021-06-18,12,8,1
2021-06-23,0,3,1
2021-06-28,0,3,1
2021-07-03,0,1,1
2021-07-08,0,2,1
2021-07-13,8,8,1
2021-07-18,0,1,1
2021-07-23,0,4,1
2021-07-28,0,1,1
2021-08-02,0,2,1
2021-08-07,0,7,1
2021-08-12,0,5,1
2021-08-17,6,5,1
2021-08-22,0,4,1
2021-08-27,0,6,1
2021-09-01,0,3,1
2021-09-06,0,1,1
2021-09-11,4,3,1
2021-09-16,0,1,1
2021-09-21,0,9,1
2021-09-26,4,3,1
2021-10-01,6,2,1
2021-10-06,0,1,1
2021-10-11,0,3,1
2021-10-16,0,2,1
2021-10-21,0,1,1
2021-10-26,10,5,1
2021-10-28,79,37,2
2018-10-09,0,6,2
2018-10-10,0,3,2
2018-10-11,0,2,2
2018-10-12,0,0,2
2018-10-13,0,0,2
2018-10-14,0,6,2
2018-10-15,0,3,2
2018-10-16,0,0,2
2018-10-17,0,5,2
2018-10-18,0,7,2
2018-10-19,0,0,2
2018-10-20,0,4,2
2018-10-21,0,4,2
2018-10-22,0,0,2
2018-10-23,0,3,2
2018-10-24,0,0,2
2018-10-25,0,3,2
2018-10-26,0,3,2
2018-10-27,0,4,2
2018-10-28,0,0,2
2018-10-29,0,2,2
2018-10-30,0,2,2
2018-10-31,0,2,2
2018-11-01,0,4,2
2018-11-02,0,6,2
2018-11-03,0,5,2
2018-11-04,0,6,2
2018-11-05,0,3,2
2018-11-06,0,3,2
2018-11-07,0,7,2
2018-11-08,0,9,2
2018-11-09,0,2,2
2018-11-10,0,4,2
2018-11-11,0,8,2
2018-11-12,0,0,2
2018-11-13,0,7,2
2018-11-14,0,8,2
2018-11-15,0,1,2
2018-11-16,0,6,2
2018-11-17,0,6,2
2019-04-27,0,10,2
2019-05-02,0,3,2
2019-05-07,0,7,2
2019-05-12,0,6,2
2019-05-17,0,3,2
2019-05-22,0,1,2
2019-05-27,0,12,2
2019-06-01,0,3,2
2019-06-06,0,8,2
2019-06-11,0,8,2
2019-06-16,0,10,2
2019-06-21,0,7,2
2019-06-26,0,6,2
2019-07-01,0,6,2
2019-07-06,0,9,2
2019-07-11,0,12,2
2019-07-16,0,11,2
2019-07-21,0,9,2
2019-07-26,0,9,2
2019-07-31,0,6,2
2019-08-05,0,22,2
2019-08-10,0,25,2
2019-08-15,0,24,2
2019-08-20,0,32,2
2019-08-25,0,35,2
2019-08-30,0,46,2
2019-09-04,0,35,2
2019-09-09,0,45,2
2019-09-14,0,38,2
2019-09-19,0,43,2
2019-09-24,0,29,2
2019-09-29,0,38,2
2019-10-04,0,64,2
2019-10-09,0,52,2
2019-10-14,0,74,2
2019-10-19,0,120,2
2019-10-24,0,100,2
2019-10-29,0,103,2
2019-11-03,0,50,2
2019-11-08,0,61,2
2019-11-13,0,47,2
2019-11-18,0,60,2
2019-11-23,0,76,2
2019-11-28,0,100,2
2019-12-03,0,97,2
2019-12-08,0,98,2
2019-12-13,0,66,2
2019-12-18,0,55,2
2019-12-23,0,28,2
2019-12-28,0,36,2
2020-01-02,0,41,2
2020-01-07,4,97,2
2020-01-12,0,38,2
2020-01-17,12,24,2
2020-01-22,61,30,2
2020-01-27,0,35,2
2020-02-01,0,23,2
2020-02-06,0,37,2
2020-02-11,0,49,2
2020-02-16,0,37,2
2020-02-21,32,37,2
2020-02-26,14,21,2
2020-03-02,0,33,2
2020-03-07,44,38,2
2020-03-12,24,31,2
2020-03-17,20,38,2
2020-03-22,0,44,2
2020-03-27,0,44,2
2020-04-01,0,39,2
2020-04-06,0,38,2
2020-04-11,0,32,2
2020-04-16,0,35,2
2020-04-21,0,34,2
2020-04-26,0,28,2
2020-05-01,0,34,2
2020-05-06,0,33,2
2020-05-11,0,36,2
2020-05-16,0,20,2
2020-05-21,0,25,2
2020-05-26,12,33,2
2020-05-31,16,34,2
2020-06-05,0,15,2
2020-06-10,9,21,2
2020-06-15,2,17,2
2020-06-20,0,22,2
2020-06-25,0,13,2
2020-06-30,0,12,2
2020-07-05,0,14,2
2020-07-10,0,26,2
2020-07-15,12,11,2
2020-07-20,0,27,2
2020-07-25,2,9,2
2020-07-30,0,13,2
2020-08-04,5,19,2
2020-08-09,10,25,2
2020-08-14,0,7,2
2020-08-19,12,16,2
2020-08-24,4,19,2
2020-08-29,0,11,2
2020-09-03,8,9,2
2020-09-08,0,10,2
2020-09-13,18,27,2
2020-09-18,0,22,2
2020-09-23,0,21,2
2020-09-28,20,13,2
2020-10-03,0,18,2
2020-10-08,0,16,2
2020-10-13,44,46,2
2020-10-18,14,38,2
2020-10-23,0,58,2
2020-10-28,21,36,2
2020-11-02,0,35,2
2020-11-07,0,28,2
2020-11-12,0,32,2
2020-11-17,0,34,2
2020-11-22,0,42,2
2020-11-27,0,55,2
2020-12-02,0,41,2
2020-12-07,0,52,2
2020-12-12,0,47,2
2020-12-17,0,50,2
2020-12-22,0,16,2
2020-12-27,0,22,2
2021-01-01,0,31,2
2021-01-06,0,55,2
2021-01-11,0,30,2
2021-01-16,0,25,2
2021-01-21,0,16,2
2021-01-26,0,24,2
2021-01-31,0,27,2
2021-02-05,48,36,2
2021-02-10,15,52,2
2021-02-15,0,14,2
2021-02-20,0,19,2
2021-02-25,0,27,2
2021-03-02,29,37,2
2021-03-07,20,28,2
2021-03-12,4,20,2
2021-03-17,0,32,2
2021-03-22,0,38,2
